Article,Total Word Count,Cleaned Word Count
bctech2011.txt,2426,1704
bctech2012.txt,496,366
bctech2013.txt,655,493
bctech2014.txt,502,376
bctech2015.txt,636,439
bctech2016.txt,464,334
bctech2017.txt,396,313
bctech2018.txt,455,329
bctech2019.txt,570,410
bctech2020.txt,780,564
bctech2021.txt,498,365
bctech2022.txt,742,506
bctech2023.txt,676,469
bctech2024.txt,836,570
bctech2025.txt,887,589
bctech2026.txt,873,568
bctech2027.txt,841,561
bctech2028.txt,1015,667
bctech2029.txt,1088,686
bctech2030.txt,857,596
bctech2031.txt,985,660
bctech2032.txt,547,352
bctech2033.txt,629,451
bctech2034.txt,981,640
bctech2035.txt,768,529
bctech2036.txt,948,601
bctech2037.txt,1061,667
bctech2038.txt,527,327
bctech2039.txt,365,248
bctech2040.txt,464,321
bctech2041.txt,294,212
bctech2042.txt,374,250
bctech2043.txt,404,300
bctech2044.txt,473,325
bctech2045.txt,484,323
bctech2046.txt,351,247
bctech2047.txt,512,383
bctech2048.txt,370,249
bctech2049.txt,571,371
bctech2050.txt,460,305
bctech2051.txt,711,468
bctech2052.txt,477,320
bctech2053.txt,463,314
bctech2054.txt,500,307
bctech2055.txt,563,344
bctech2056.txt,1136,738
bctech2057.txt,507,378
bctech2058.txt,640,460
bctech2059.txt,436,302
bctech2060.txt,397,294
bctech2061.txt,794,531
bctech2062.txt,666,438
bctech2063.txt,671,448
bctech2064.txt,510,327
bctech2065.txt,525,358
bctech2066.txt,349,246
bctech2067.txt,577,358
bctech2068.txt,497,318
bctech2069.txt,331,234
bctech2070.txt,266,194
bctech2071.txt,265,194
bctech2072.txt,310,221
bctech2073.txt,223,173
bctech2074.txt,332,238
bctech2075.txt,494,325
bctech2076.txt,548,373
bctech2077.txt,567,393
bctech2078.txt,611,389
bctech2079.txt,506,364
bctech2080.txt,458,325
bctech2081.txt,909,634
bctech2082.txt,560,349
bctech2083.txt,494,337
bctech2084.txt,315,220
bctech2085.txt,560,348
bctech2086.txt,500,350
bctech2087.txt,438,318
bctech2088.txt,402,282
bctech2089.txt,499,336
bctech2090.txt,615,418
bctech2091.txt,558,322
bctech2092.txt,340,232
bctech2093.txt,422,297
bctech2094.txt,434,327
bctech2095.txt,363,270
bctech2096.txt,376,244
bctech2097.txt,402,263
bctech2098.txt,495,331
bctech2099.txt,512,333
bctech2100.txt,448,282
bctech2101.txt,483,319
bctech2102.txt,1106,683
bctech2103.txt,1164,725
bctech2104.txt,370,273
bctech2105.txt,517,340
bctech2106.txt,354,248
bctech2107.txt,489,319
bctech2108.txt,353,251
bctech2109.txt,583,380
bctech2110.txt,359,256
bctech2111.txt,461,304
bctech2112.txt,379,272
bctech2113.txt,548,386
bctech2114.txt,350,246
bctech2115.txt,1015,649
bctech2116.txt,702,460
bctech2117.txt,382,303
bctech2118.txt,351,267
bctech2119.txt,433,277
bctech2120.txt,592,412
bctech2121.txt,630,416
bctech2122.txt,489,330
bctech2123.txt,685,456
bctech2124.txt,321,220
bctech2125.txt,445,317
bctech2126.txt,764,506
bctech2127.txt,1296,901
bctech2128.txt,779,591
bctech2129.txt,202,158
bctech2130.txt,234,179
bctech2131.txt,259,195
bctech2132.txt,249,191
bctech2133.txt,202,155
bctech2134.txt,222,173
bctech2135.txt,767,468
bctech2136.txt,275,190
bctech2137.txt,631,399
bctech2138.txt,350,240
bctech2139.txt,554,340
bctech2140.txt,542,341
bctech2141.txt,454,305
bctech2142.txt,446,288
bctech2143.txt,351,248
bctech2144.txt,364,256
bctech2145.txt,325,233
bctech2146.txt,324,235
bctech2147.txt,344,232
bctech2148.txt,385,266
bctech2149.txt,361,259
bctech2150.txt,496,333
bctech2151.txt,960,654
bctech2152.txt,610,421
bctech2153.txt,916,637
bctech2154.txt,1414,931
bctech2155.txt,482,309
bctech2156.txt,255,217
bctech2157.txt,266,188
